NHRC-4 Repeater Controller,,,,,,,,,,NHRC Repeater Controllers
Bill of Materials,,,,,,,,,,444 Micol Road
"Revised: Wednesday, January 07, 1998",,,,,,,,,,"Pembroke, NH 03275"
Revision: B,,,,,,,,,,603-485-2248
,,,,,,,,,,
Item,Qty.,Ref.,Schematic Value,,Description,Mfg.,Mfg. P/N,Digi-Key P/N, Unit Cost ,Notes
,,R3,10K,,10K ¼W 5% Carbon Film Resistor,Yaego,10K CR-1/4W-B 5%,10KQBK-ND, $0.02 ,
,,R7,10K,,10K ¼W 5% Carbon Film Resistor,Yaego,10K CR-1/4W-B 5%,10KQBK-ND, $0.02 ,
,,R12,10K,,10K ¼W 5% Carbon Film Resistor,Yaego,10K CR-1/4W-B 5%,10KQBK-ND, $0.02 ,
,,R17,10K,,10K ¼W 5% Carbon Film Resistor,Yaego,10K CR-1/4W-B 5%,10KQBK-ND, $0.02 ,
,,R22,10K,,10K ¼W 5% Carbon Film Resistor,Yaego,10K CR-1/4W-B 5%,10KQBK-ND, $0.02 ,
,,R26,10K,,10K ¼W 5% Carbon Film Resistor,Yaego,10K CR-1/4W-B 5%,10KQBK-ND, $0.02 ,
,,R29,10K,,10K ¼W 5% Carbon Film Resistor,Yaego,10K CR-1/4W-B 5%,10KQBK-ND, $0.02 ,
,,R30,10K,,10K ¼W 5% Carbon Film Resistor,Yaego,10K CR-1/4W-B 5%,10KQBK-ND, $0.02 ,
,,R33,10K,,10K ¼W 5% Carbon Film Resistor,Yaego,10K CR-1/4W-B 5%,10KQBK-ND, $0.02 ,
,,R37,10K,,10K ¼W 5% Carbon Film Resistor,Yaego,10K CR-1/4W-B 5%,10KQBK-ND, $0.02 ,
,,R40,10K,,10K ¼W 5% Carbon Film Resistor,Yaego,10K CR-1/4W-B 5%,10KQBK-ND, $0.02 ,
21,3,R4,100,,100 ¼W 5% Carbon Film Resistor,Yaego,100E CR-1/4W-B 5%,100QBK-ND, $0.02 ,
,,R10,100,,100 ¼W 5% Carbon Film Resistor,Yaego,100E CR-1/4W-B 5%,100QBK-ND, $0.02 ,
,,R19,100,,100 ¼W 5% Carbon Film Resistor,Yaego,100E CR-1/4W-B 5%,100QBK-ND, $0.02 ,
22,2,R20,510K,,510K ¼W 5% Carbon Film Resistor,Yaego,510K CR-1/4W-B 5%,510KQBK-ND, $0.02 ,see note 3
,,R5,510K,,510K ¼W 5% Carbon Film Resistor,Yaego,510K CR-1/4W-B 5%,510KQBK-ND, $0.02 ,see note 3
23,2,R21,51K,,51K ¼W 5% Carbon Film Resistor,Yaego,51K CR-1/4W-B 5%,51KQBK-ND, $0.02 ,see note 3
,,R6,51K,,51K ¼W 5% Carbon Film Resistor,Yaego,51K CR-1/4W-B 5%,51KQBK-ND, $0.02 ,see note 3
24,3,R8,33K,,33K ¼W 5% Carbon Film Resistor,Yaego,33K CR-1/4W-B 5%,33KQBK-ND, $0.02 ,
,,R23,33K,,33K ¼W 5% Carbon Film Resistor,Yaego,33K CR-1/4W-B 5%,33KQBK-ND, $0.02 ,
,,R36,33K,,33K ¼W 5% Carbon Film Resistor,Yaego,33K CR-1/4W-B 5%,33KQBK-ND, $0.02 ,
25,5,R9,470,,470 ¼W 5% Carbon Film Resistor,Yaego,470E CR-1/4W-B 5%,470QBK-ND, $0.02 ,
,,R16,470,,470 ¼W 5% Carbon Film Resistor,Yaego,470E CR-1/4W-B 5%,470QBK-ND, $0.02 ,
,,R24,470,,470 ¼W 5% Carbon Film Resistor,Yaego,470E CR-1/4W-B 5%,470QBK-ND, $0.02 ,
,,R27,470,,470 ¼W 5% Carbon Film Resistor,Yaego,470E CR-1/4W-B 5%,470QBK-ND, $0.02 ,
,,R31,470,,470 ¼W 5% Carbon Film Resistor,Yaego,470E CR-1/4W-B 5%,470QBK-ND, $0.02 ,
26,3,R11,22K,,22K ¼W 5% Carbon Film Resistor,Yaego,22K CR-1/4W-B 5%,22KQBK-ND, $0.02 ,
,,R13,22K,,22K ¼W 5% Carbon Film Resistor,Yaego,22K CR-1/4W-B 5%,22KQBK-ND, $0.02 ,
,,R18,22K,,22K ¼W 5% Carbon Film Resistor,Yaego,22K CR-1/4W-B 5%,22KQBK-ND, $0.02 ,
27,7,R14,100K,,100K ¼W 5% Carbon Film Resistor,Yaego,100K CR-1/4W-B 5%,100KQBK-ND, $0.02 ,
,,R15,100K,,100K ¼W 5% Carbon Film Resistor,Yaego,100K CR-1/4W-B 5%,100KQBK-ND, $0.02 ,
,,R25,100K,,100K ¼W 5% Carbon Film Resistor,Yaego,100K CR-1/4W-B 5%,100KQBK-ND, $0.02 ,
,,R32,100K,,100K ¼W 5% Carbon Film Resistor,Yaego,100K CR-1/4W-B 5%,100KQBK-ND, $0.02 ,
,,R34,100K,,100K ¼W 5% Carbon Film Resistor,Yaego,100K CR-1/4W-B 5%,100KQBK-ND, $0.02 ,
,,R35,100K,,100K ¼W 5% Carbon Film Resistor,Yaego,100K CR-1/4W-B 5%,100KQBK-ND, $0.02 ,
,,R39,100K,,100K ¼W 5% Carbon Film Resistor,Yaego,100K CR-1/4W-B 5%,100KQBK-ND, $0.02 ,
28,1,R28,300K,,300K ¼W 5% Carbon Film Resistor,Yaego,300K CR-1/4W-B 5%,300KQBK-ND, $0.02 ,
29,1,R38,39K,,39K ¼W 5% Carbon Film Resistor,Yaego,39K CR-1/4W-B 5%,39KQBK-ND, $0.02 ,
30,1,U1,TL064,,Quad Op-Amp,TI,TL064CN,N/A,,see note 1
31,1,U2,LM7805CT,,5V 1.0A Voltage Regulator,Nat'l Semi,LM340T-5.0,LM340T-5.0-ND, $0.88 ,
32,1,U3,M-8870-01,,DTMF Decoder,Teltone,M-8870-01,N/A,,see note 1
33,1,U4,PIC16F84-04/P,,PIC Microcontroller (Blank),Microchip,PIC16F84-04I/P,PIC16F84-04I/P-ND, $6.88 ,see note 1
34,4,VR1,10K,POT,10K 6mm Carbon Trimpot,Panasonic,EVN-D8AA03B14,D4AA14-ND, $0.22 ,
,,VR3,10K,POT,10K 6mm Carbon Trimpot,Panasonic,EVN-D8AA03B14,D4AA14-ND, $0.22 ,
,,VR4,10K,POT,10K 6mm Carbon Trimpot,Panasonic,EVN-D8AA03B14,D4AA14-ND, $0.22 ,
,,VR6,10K,POT,10K 6mm Carbon Trimpot,Panasonic,EVN-D8AA03B14,D4AA14-ND, $0.22 ,
35,2,VR2,500K,POT,500K 6mm Carbon Trimpot,Panasonic,EVN-D8AA03B55,D4AA55-ND, $0.22 ,
,,VR5,500K,POT,500K 6mm Carbon Trimpot,Panasonic,EVN-D8AA03B55,D4AA55-ND, $0.22 ,
36,1,Y1,3.579MHz,,3.579545MHz Crystal,CTX,MP036S,CTX049-ND, $1.27 ,
Additional Items,,,,,,,,,,
